Cluster,Instruction,ACTION,QUANTITY,UNIT,INGREDIENT,TOOL,TEMPERATURE,STATE,GARNISH
3,"Float the overproof rum on top, or put it in a hollowed-out lime half if you’re feeling fancy",top | float,,,overproof rum | lime,,,,
1,Shake everything but the overproof rum with ice,shake,,,overproof rum | ice,,,,
2,Add jello mix to boiling water,add | mix,,,water,,,boiling,
1,"Enjoy the sweet, creamy, and unique flavors of your Cherry Blossom Cocktail!",,,,,,,,cherry
1,"Sip slowly and savour the rich, chocolatey goodness with every sip!",sip,,,,,,,
5,Pour unstrained into a short glass and top with more ice if desired,pour | top,,,ice,glass,,strained,
0,Place all ingredients in acocktail shakerwith a handful of ice and shake until cold,shake | place,,handful,ice,,cold,,
3,"Add a splash of cola, stir the punch, and add a little more if needed to get a """"tea"""" color",add | stir | splash,,splash,cola | tea,,,,
1,"For serving, place the sour mix in a pitcher with whiskey with 2 handfuls of ice and pour servings of about ½ cup",pour | mix | place,2 | ½,cup | serving | handfuls,whiskey | ice,pitcher | cup,,,
0,"Fill the glass three-quarters with ice, top with seltzer, and gently stir a few times to blend without disrupting carbonation",blend | stir | top | fill | end with | gently stir,,,ice,glass,,,
2,Strain this mixture from the ice into a pounder glass filled with ice,strain,,,ice,glass,,,
4,Garnish with a cinnamon stick and lemon wheel,,,wheel,,,,,cinnamon stick | lemon wheel
5,Cook on slow heat while muddling the avocado,heat,,,,,,,
0,"Add vanilla ice cream, banana, dark rum and creme de bananas to blender and combine until smooth",add | combine,,,creme de bananas | ice cream | dark rum | banana | vanilla,blender,,,
3,Drop in a maraschino cherry garnish and an orange wedge,drop,,drop,maraschino cherry,,,,orange wedge
0,Rinse a coupe with absinthe and set aside,set aside | rinse,,,absinthe,,,,
5,"In a highball glass filled with ice cubes, stir together 1.5 oz vanilla vodka, 4 oz blueberry juice, and 1 oz apple juice",stir,1.5 | 4 | 1,oz | cubes,vanilla vodka | apple juice | ice,highball glass,,,blueberry
0,"Muddle the mint and sugar together in a tall glass, and then squeeze the lime in",muddle | squeeze,,,lime | sugar,glass,,,
4,Stir in ice,stir,,,ice,,,,
3,Stir and strain into a chilled martini glass; garnish with lemon twist,strain | stir,,,,martini glass,chilled,,lemon twist
0,"Once chilled, serve the Hot Apple Pie Cocktail in glasses",serve,,,apple,glasses,hot | chilled,,
4,Sip and let the tropical flavors transport you to paradise!,sip,,,,,,,
3,Alternative Method: Stir the mixture well in an old-fashioned glass half-filled with ice,stir,,,ice,glass,,,
2,Bring pink lemonade to a boil and stir in unflavored gelatin,stir | boil,,,lemonade,,,,
0,Add to the pot with the other ingredients and bring to a boil,add | boil,,,,pot,,,
0,Serve immediately with a straw and enjoy the refreshing flavors of the Grapefruit Crush Mocktail,serve | crush,,,grapefruit,,,,
2,"Serve immediately and enjoy the fruity, bold flavors with a powerful kick",serve,,,,,,,
3,Garnish with half a Passionfruit,,,,,,,,
3,"By the glass:In a glass, pour in the lemonade and tequila",pour,,,tequila | lemonade,glass,,,
1,"Place oranges in a baking pan and pour the mix in, filling them halfway",pour | mix | place,,,,pan,,,
5,Fill the mug with prepared hot chocolate,fill,,,chocolate,mug,hot,,
2,Add ice cubes to the shaker,add,,cubes,ice,shaker,,,
3,"In a highball glass combine vodka, lemon juice, tomato juice, tabasco sauce, worcestershire sauce, horseradish, black pepper and salt",combine,,,worcestershire sauce | tabasco sauce | tomato juice | black pepper | lemon juice | vodka | salt | horseradish,highball glass,,,
2,In a tall glass - add the aquavit and some ice cubes then pour in the tonic and then the sweetened coffee on top,add | pour | top,,cubes,tonic | aquavit | coffee | ice,glass,,,
0,Combine all the ingredients in a mixing tin with ice and stir until chilled,stir | combine,,,ice,,chilled,,
2,"Stir all of the ingredients with ice to chill, then strain into an ice-filled glass",strain | stir,,,ice,glass,,,
1,"Fill the glass with ice, then add the tequila and bitters",add | fill,,,tequila | ice,glass,,,
0,Pour into a chilled glass and enjoy!,pour,,,,glass,chilled,,
1,"Pour 120 ml of cinnamon schnapps, 30 ml of overproof rum, and 30 ml of vanilla liqueur over the ice",pour,120 | 30,ml,cinnamon schnapps | overproof rum | vanilla | ice,,,,
4,All ingredients to an ice filled glass,,,,ice,glass,,,
0,"Fill with ice, then top off with the grapefruit soda by gently pouring down a twisted or swizzled bar spoon",top | fill | top off | gently pour,,bar spoon,grapefruit | ice,bar spoon,,,
1,Top with equal parts of iced tea and lemonade,top,,parts,lemonade | tea,,,iced,
0,"Add ice into a tall-stemed cocktail glass, pour grenadine over ice, add enough that some settles on the bottom of the glass Add tequila, orange juice, and lime juice into shaker with ice",add | pour,,,orange juice | lime juice | tequila | ice | grenadine,cocktail glass | glass | shaker,,,
5,Sprinkle a pinch of cinnamon over the flaming shot for a sparkling effect,,,pinch | shot,cinnamon,,hot,,
5,Using a muddler press down the blackberries,press,,,,muddler | press,,,
4,Pour in equal parts vodka and spiced rum over the ice,pour,,parts,spiced rum | vodka | ice,,,iced,
1,"Stir gently, serve immediately, and enjoy your bold Dead Dog Cocktail",stir | serve,,,,,,,
0,"Reduce the heat to low and let simmer for 10-15 minutes, then remove from the heat and let cool",heat | cool | simmer | reduce,10 | 15,minutes,,,,,
5,Strain over a large ice sphere or cube in a glass,strain,,cube,ice,glass,,,
3,Add the Kahlua and cream and stir,add | stir,,,kahlua | cream,,,,
3,"Serve in coffee mugs or Irish coffee glasses , garnishing each drink with shaved nutmeg",serve,,,coffee,glasses,,shaved,nutmeg
0,Cut a hole in the watermelon the size of your vodka bottle lid,cut,,,vodka | watermelon,bottle,,,
0,Add both alcohols and stir until well mixed,add | stir,,,,,,,
1,Garnish with a shiso leaf or mint sprigs,,,,,,,,
5,Layer orange vodka on top,top | layer,,,vodka | orange,,,,
1,Stir liquors in a Collins glass,stir,,,,collins glass,,,
3,Using a blender or milk shake maker produces a very foamy drink,shake,,,milk,blender,,,
4,Add Vodka,add,,,vodka,,,,
1,"Top with chilled soda water, adding more crushed ice if needed",top,,,soda water | ice,,chilled,crushed,
2,"Enjoy the fruity, refreshing flavors of your Johnson Cocktail",,,,,,,,
1,"Cut a notch in a lemon wedge, then run it around the rim of a glass",rim | cut,,,,glass,,,lemon wedge
2,Top up with 7 oz lychee soda,top,7,oz,lychee,,,,
4,"Pour over jolly rancher vodka, lemon juice and lemon lime soda",pour,,,lemon juice | vodka | lemon | lime,,,,
0,Add rum to the container,add,,,rum,container,,,
3,Garnish with a lavish mint bouquet,,,,,,,,
1,Strain over fresh ice,strain,,,ice,,,,
0,"In a cocktail shaker filled with ice, combine 2 oz gin, 1 tsp grenadine syrup, and 1 whole egg",combine,2 | 1,oz | tsp,grenadine syrup | gin | ice | egg,shaker,,,
4,Garnish with brandied cherries and a twist or slice of lemon,,,slice,lemon,,,,brandied cherries
1,"Add strawberry cream liqueur, vanilla schnapps, coffee liqueur, cream, and a splash of grenadine syrup",add | splash,,splash,grenadine syrup | coffee liqueur | vanilla | cream,,,,strawberry
1,Garnish with a pineapple leaves and cherry skewer,,,,pineapple,,,,cherry
1,Puree until smooth and pour into a tall glass,pour,,,puree,glass,,,
4,Top with 151 proof rum,top,151,,rum,,,,
1,"In a mixing glass with ice add vanilla vodka, cake vodka, white chocolate liqueur and heavy whipping cream",add,,,chocolate liqueur | vanilla vodka | cake vodka | cream | ice,glass,,,
0,Use a plastic stirring utensil to stir if desired,stir,,,,,,,
1,Start by pouring 1 oz of coconut rum into the bottom of a cordial glass,,1,oz,coconut rum | cordial,glass,,,
0,Build in the order given in an ice-filled wine goblet or tall glass,build,,,wine | ice,glass | goblet,,,
1,Garnish with orange and lemon twists,,,,lemon | orange,,,,
2,"Garnish with a piece of candied ginger, or a wheel or twist of lemon",,,wheel | piece,lemon,,,,candied ginger
5,Shake the mixture vigorously to blend the flavors and chill the drink,shake | blend,,,,,,,
0,Pour into a double Old-Fashioned glass,pour,,,,glass,,,
1,"The day of serving:Blend together the frozen clementine oranges with the berries, red wine, and honey, stopping to scrape down the sides as necessary",blend,,serving,red wine | honey,,,frozen,
5,Blow out before shooting,,,,,,,,
0,Heat margarita mix and add gelatin,add | mix | heat,,,,,,,
4,Blend everything until it’s smooth and frosty,blend,,,,,,,
0,Drizzle 1 tsp creme de cacao on top of the whipped cream,top | drizzle,1,tsp,creme de cacao,,,whipped,whipped cream
4,Garnish with a mint sprig and a pineapple wedge,,,,,,,,mint sprig | pineapple wedge
0,Garnish edge of glass with popping candy,,,,,glass,,,candy
1,Garnish with Powdered Chocolate,,,,chocolate,,,,
4,Serve immediately and enjoy your Evening Accessory Cocktail,serve,,,,,,,
4,Add the milk and cream and blend 1 minute more,add | blend,1,minute,cream | milk,,,,
5,Pour the energy soda into a highball glass 3/4 filled with ice cubes,pour,3/4,cubes,ice,highball glass,,,
2,Shake all ingredients except wine in a mixing tin with ice,shake,,,wine | ice,,,,
4,Strain into a short ice-filled glass and top with the ginger beer,strain | top,,,ginger beer | ice,glass,,,
3,Stir well and garnish with the lemon wedge,stir,,,,,,,lemon wedge
3,Stir and refrigerate 1 to 4 hours,stir | refrigerate,1 | 4,hours,,,,,
4,Add all ingredients into a shaker with ice and shake until chilled,add | shake,,,ice,shaker,chilled,,
1,"Top with the tonic water and add the cucumber, citrus wheels, strawberry slices, and the sprig of mint or lavender",add | top,,slices | wheels,tonic water | lavender | cucumber,,,,sprig of mint | strawberry
4,Combine all the ingredients in a wine glass with ice,combine,,,wine | ice,wine glass,,,
3,"To each glass, add 2 ounces  of vodka and ½ cup of Bloody Mary mix and stir gently to combine",add | stir | mix | combine,2 | ½,ounces | cup,vodka,glass | cup,,,
4,Serve immediately and enjoy the vibrant vodka peach citrus delight,serve,,,vodka | peach,,,,
0,Add Irish cream to blender,add,,,irish cream,blender,,,
5,"In a cocktail shaker, add the mint leaves, lime juice, and simple syrup",add,,,simple syrup | mint leaves | lime juice,shaker,,,
1,Serve immediately and enjoy the bold and surprising flavors of The Icelandic Way cocktail,serve,,,,,,,
4,"Enjoy your Creative Native Cocktail immediately, savoring the creamy, smooth, and decadent flavors",,,,,,,,
3,Pour in the mango rum,pour,,,rum | mango,,,,
1,Place in a large glass pitcher,place,,,,glass | pitcher,,,
2,Pour in 3 oz strawberry cream liqueur and 3 oz root beer,pour,3,oz,root beer | cream,,,,strawberry
0,Pour 1 oz of OP rum into the glass,pour,1,oz,rum,glass,,,
0,Garnish with Cucumber Peel,,,,cucumber,,,,peel
2,Remove the bowl from the saucepan,,,,,bowl | saucepan,,,
3,"Cover and blend until slushy, 15 to 30 seconds",blend,15 | 30,seconds,,,,,
1,"Garnish with a few blueberries, a sprig of mint, and a lime slice",,,slice,lime,,,,sprig of mint
2,"Remove stems from about 30 strawberries, and cut them into quarters",cut,30,,,,,,
0,Dust with grated nutmeg,,,,,,,grated,nutmeg
1,Strain the drink into chilled cocktail glass,strain,,,,cocktail glass,chilled,,
3,Pour the blended mixture into the glass,pour,,,,glass,,,
5,Add the lime juice and rum to the pitcher,add,,,lime juice | rum,pitcher,,,
4,"Fill a highball glass with ice, then pour in the shochu",pour | fill,,,shochu | ice,highball glass,,,
1,Whilst white layer is setting create red,layer,,,,,,,
0,Pour 0.5 oz of blackberry brandy and 1/4 oz of honey liqueur into the flute,pour,0.5 | 1/4,oz,brandy | honey,,,,blackberry
2,"In a cocktail shaker, pour 3 oz almond liqueur, 2 oz sours, and 2 oz OP rum",pour,3 | 2,oz,almond liqueur | rum,shaker,,,
0,Swirl chocolate sauce around the inside of a martini glass and set aside,swirl | set aside,,,chocolate,martini glass,,,
0,"Add grenadine, garnish with a cherry, and serve",add | serve,,,grenadine,,,,cherry
3,"Add all ingredients, except for the Prosecco, with ice and shake",add | shake,,,prosecco | ice,,,,
1,Shake 2 times  Pour into a rocks glass and top with soda,pour | shake | top,2,,,rocks glass,,,
1,Seal and shake vigorously for 10 to 15 seconds,shake,10 | 15,seconds,,,,,
2,Pour the cocktail into a highball glass,pour,,,,highball glass,,,
4,Shake all of the ingredients in a shaker with ice,shake,,,ice,shaker,,,
0,Enjoy the refreshing and bold Klingon Battlejuice!,,,,,,,,
5,Add the tequila and ice to a glass and stir to combine,add | stir | combine,,,tequila | ice,glass,,,
3,Spoon into serving glass and enjoy,,,serving,,glass | spoon,,,
1,Melt the butter in a saucepan and add the spice mix,add | mix,,,butter,saucepan,,,
4,Top with ginger ale,top,,,ginger ale,,,,
1,Muddle the Ginger in the base of a cocktail shaker,muddle,,,ginger,shaker,,,
5,"Combine ingredients, top with hot water, and steep for 3-5 minutes",combine | top | steep,3 | 5,minutes,water,,hot,,
1,Serve right away and enjoy the refreshing blend of flavors,blend | serve,,,,,,,
1,"Discard the ice in the chilled glass and rinse it with blood orange liqueur by pouring a small amount into the glass , swirling it around and discarding the liquid",rinse,,,orange liqueur | ice,glass,chilled,,
2,"In a mixing glass half-filled with cracked ice, pour 1.5 oz of whiskey, 1 oz of Campari bitters, and 0.5 oz of dry vermouth",pour,1.5 | 1 | 0.5,oz,dry vermouth | whiskey | campari | ice,glass,,,
3,"To serve, pour the sangria into ice-filled glasses and top with a splash ofsoda water",pour | serve | top | splash,,splash,ice | water,glasses,,,
5,"Combine all ingredients, except soda water, in a Reidel Coca Cola Glass over ice and stir until chilled",stir | combine,,,soda water | cola | ice,glass,chilled,,
1,"Place a slice of orange in your glass and pour 1 oz of dark rum over it, allowing the rum to soak into the orange",pour | place | soak,1,oz | slice,dark rum | rum | orange,glass,,,
0,"Add the sugar, star anise, vanilla bean, cayenne pepper and salt, reduce the heat to low and cook for about 10 minutes",add | heat | reduce,10,minutes,cayenne pepper | sugar | vanilla | salt,,,,star anise
2,"Sip and enjoy your creamy, indulgent cocktail",sip,,,,,,,
4,"Add the tequila, tincture and ice and shake until chilled",add | shake,,,tequila | ice,,chilled,,
2,Garnish with a twist of lemon and serve immediately,serve,,,lemon,,,,
1,"In a mixing glass add the sauces, spices and basil leaves then add all remaining ingredients and roll back and forth with ice in a mixing tin",add | roll,,,ice,glass,,,basil
0,Finished of with adding ice to the shaker and then shaking again,,,,ice,shaker,,,
1,Rim the edge of a glass with a chocolate/caramel mixture and crushed pecans,rim,,,chocolate,glass,,crushed,
5,Shake well until the mixture is smooth and the ice cream is blended with the liquors,shake,,,ice cream,,,,
5,Pour the mixture over ice in a cocktail glass,pour,,,ice,cocktail glass,,,
5,"Stir well, Strain into a cocktail glass and garnish",strain | stir,,,,cocktail glass,,,
0,"In a wine glass, combine 1 oz coffee liqueur, 1 oz pear liqueur, 0.5 oz bitters, 1/3 oz raspberry liqueur, and 3 tbsp ice cream",combine,1 | 0.5 | 1/3 | 3,oz | tbsp,coffee liqueur | pear liqueur | ice cream | wine,wine glass,,,raspberry
3,Freeze rosé into ice cubes,freeze,,cubes,ice,,,,
4,"Stir It Up: Use a stirrer to gently mix the ingredients together, blending the tropical flavors with the lemonade",stir | mix,,,lemonade,stirrer,,,
